50 ingredienti
Bacon 5 14 8
Aglio 6 11 13
Mais 7 15 8
Champignon 7 14 7
Feta 7 13 5
Misto_Funghi 7 9 15
Fiori_di_Zucca 7 9 5
Caciocavallo 8 16 9
Glassa_di_Aceto_Balsamico 8 11 13
Cavolo_Nero 8 11 7
Melanzane 8 10 13
Carciofini 9 15 13
Carciofi 9 13 7
Grana 9 12 9
Broccoli 9 11 13
Asparagi 9 11 12
Melanzane_sott'olio 9 10 11
Fiordilatte 9 9 6
Lupini 9 8 14
Banane 10 11 11
Funghi_Freschi 10 11 8
Crema_di_Zucca 10 10 14
Basilico 10 10 12
Mortadella 10 10 9
Grigliata 10 8 11
Cipolla 10 7 13
Friarielli 11 14 6
Brie 11 13 18
Gamberetti 11 10 13
Funghi 11 9 12
Curry 11 8 11
Emmenthal 11 8 11
Insalata 11 8 8
Frutti_di_Mare 12 11 12
Funghi_Champignon 12 11 12
Jalapenos 12 11 6
Fragola 12 10 9
Cipolla_Rossa 12 9 7
Acciughe 12 8 7
Fagioli 12 8 5
Capperi 12 6 11
Maionese 13 12 7
Mela 13 8 11
Crescenza 14 13 6
Ananas 14 12 6
Gorgonzola 14 8 13
Bresaola 14 8 5
Fontina 15 18 5
Mascarpone 15 7 16
Burrata 16 9 6
100 clienti
Acciughe Aglio Ananas Asparagi Bacon Banane Bresaola Brie Broccoli Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Misto_Funghi Mortadella 
Parini 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Lupini Maionese Mais Melanzane Melanzane_sott'olio Misto_Funghi 
Valvano 
Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Funghi Funghi_Champignon Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mascarpone Mela Melanzane Misto_Funghi Mortadella 
Cataldi 
Acciughe Aglio Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
DiPaolo 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Brie Broccoli Burrata Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Curry Emmenthal Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi_Freschi Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Sbreni 
Acciughe Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Funghi Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grigliata Insalata Jalapenos Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
D'Alessandro 
Acciughe Aglio Ananas Asparagi Bacon Banane Bresaola Brie Broccoli Burrata Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Sala 
Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Maionese Mais Mascarpone Mela Melanzane Misto_Funghi Mortadella 
Fassbender 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Mais Mascarpone Mela Melanzane_sott'olio Misto_Funghi Mortadella 
Antosh 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Brie Broccoli Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Crema_di_Zucca Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Simoni 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grigliata Insalata Jalapenos Lupini Mais Mela Melanzane Melanzane_sott'olio Mortadella 
Borgat 
Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Mortadella 
Vitor 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crescenza Curry Emmenthal Fagioli Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Ferrero 
Acciughe Aglio Ananas Asparagi Bacon Banane Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Borghini 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Renzulli 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Glassa_di_Aceto_Balsamico Gorgonzola Grana Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Martys 
Acciughe Aglio Ananas Asparagi Bacon Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Siapian 
Acciughe Aglio Ananas Asparagi Bacon Banane Bresaola Brie Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi_Champignon Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Silvestri 
Acciughe Aglio Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Champignon Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fontina Fragola Friarielli Frutti_di_Mare Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Pelo 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Brie Broccoli Caciocavallo Carciofi Carciofini Cavolo_Nero Champignon Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mascarpone Melanzane_sott'olio Misto_Funghi Mortadella 
Torraca 
Acciughe Aglio Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Emmenthal Fagioli Feta Fiordilatte Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Jalapenos Lupini Mais Mascarpone Melanzane_sott'olio Misto_Funghi 
Lelli 
Acciughe Aglio Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Caciocavallo Capperi Carciofi Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi 
Baldi 
Aglio Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mela Melanzane Misto_Funghi Mortadella 
Attendoli 
Acciughe Aglio Ananas Asparagi Bacon Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fontina Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Grana Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Rossetti 
Acciughe Aglio Ananas Asparagi Bacon Banane Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Frutti_di_Mare Funghi Funghi_Champignon Gamberetti Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Satta 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Fagioli Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Rosata 
Acciughe Aglio Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fragola Friarielli Funghi Funghi_Champignon Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Maionese Mais Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Salvemini 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Broccoli Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Emmenthal Feta Fiordilatte Fontina Fragola Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi 
Karim 
Acciughe Aglio Ananas Asparagi Bacon Banane Bresaola Brie Broccoli Burrata Caciocavallo Carciofi Carciofini Champignon Cipolla_Rossa Crema_di_Zucca Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Stefanovich 
Acciughe Aglio Ananas Asparagi Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Fico 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Cipolla Cipolla_Rossa Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Grigliata Insalata Jalapenos Lupini Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi 
Mane 
Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiori_di_Zucca Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Lupini Maionese Mais Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Zolnowski 
Acciughe Aglio Asparagi Bacon Banane Basilico Brie Broccoli Caciocavallo Capperi Carciofi Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Gamberetti Glassa_di_Aceto_Balsamico Grana Grigliata Insalata Jalapenos Lupini Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Gamberini 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Crema_di_Zucca Crescenza Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Jalapenos Lupini Maionese Mais Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Mahu 
Acciughe Aglio Ananas Asparagi Banane Basilico Bresaola Brie Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fontina Fragola Friarielli Funghi Funghi_Champignon Glassa_di_Aceto_Balsamico Grana Grigliata Insalata Jalapenos Lupini Mais Mascarpone Mela Melanzane_sott'olio Misto_Funghi Mortadella 
DalLago 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Champignon Cipolla Crema_di_Zucca Curry Emmenthal Fagioli Feta Fiori_di_Zucca Fontina Fragola Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Glassa_di_Aceto_Balsamico Gorgonzola Grigliata Lupini Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Ciarla 
Acciughe Ananas Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Domenicali 
Acciughe Ananas Asparagi Bacon Basilico Bresaola Broccoli Burrata Caciocavallo Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Insalata Jalapenos Lupini Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Spalletta 
Acciughe Aglio Ananas Asparagi Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Friarielli Frutti_di_Mare Funghi Funghi_Champignon Gamberetti Gorgonzola Grana Grigliata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane_sott'olio Misto_Funghi Mortadella 
Siracusa 
Acciughe Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Cipolla Cipolla_Rossa Crescenza Curry Emmenthal Fagioli Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Ciarlariello 
Acciughe Aglio Ananas Asparagi Bacon Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla_Rossa Crema_di_Zucca Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Funghi Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Messina 
Acciughe Aglio Asparagi Bacon Basilico Bresaola Brie Broccoli Burrata Caciocavallo Capperi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Friarielli Frutti_di_Mare Funghi Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi 
Salamone 
Aglio Ananas Asparagi Bacon Basilico Bresaola Broccoli Burrata Caciocavallo Capperi Carciofi Carciofini Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane_sott'olio 
Cerchierini 
Acciughe Aglio Ananas Bacon Banane Basilico Bresaola Broccoli Burrata Caciocavallo Carciofi Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Emmenthal Fagioli Feta Fiori_di_Zucca Fontina Fragola Friarielli Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Moiano 
Acciughe Aglio Ananas Bacon Banane Basilico Bresaola Brie Broccoli Carciofi Carciofini Champignon Cipolla Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fragola Friarielli Frutti_di_Mare Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Scardone 
Aglio Ananas Asparagi Bacon Banane Basilico Bresaola Brie Burrata Caciocavallo Capperi Carciofi Carciofini Cavolo_Nero Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grigliata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Guerra 
Acciughe Aglio Ananas Banane Basilico Bresaola Brie Broccoli Burrata Capperi Carciofi Carciofini Cavolo_Nero Champignon Cipolla Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Tarani 
Acciughe Aglio Asparagi Bacon Banane Basilico Bresaola Brie Broccoli Burrata Caciocavallo Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Gamberetti Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Moukrim 
Acciughe Aglio Ananas Bacon Banane Basilico Bresaola Broccoli Burrata Caciocavallo Capperi Champignon Cipolla Cipolla_Rossa Crescenza Curry Emmenthal Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Insalata Lupini Maionese Mais Mela Melanzane Misto_Funghi Mortadella 
Fiordigigli 
Acciughe Aglio Ananas Bacon Banane Basilico Brie Broccoli Carciofi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Fagioli Feta Fiordilatte Fiori_di_Zucca Fontina Fragola Friarielli Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Gorgonzola Grana Grigliata Insalata Jalapenos Lupini Maionese Mais Mascarpone Mela Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Longo 
Acciughe Aglio Ananas Bacon Banane Basilico Bresaola Brie Caciocavallo Capperi Carciofini Cavolo_Nero Champignon Cipolla Cipolla_Rossa Crema_di_Zucca Crescenza Curry Emmenthal Fagioli Feta Fragola Friarielli Frutti_di_Mare Funghi Funghi_Champignon Funghi_Freschi Gamberetti Glassa_di_Aceto_Balsamico Grana Grigliata Insalata Jalapenos Lupini Maionese Mascarpone Melanzane Melanzane_sott'olio Misto_Funghi Mortadella 
Potalivo 
